# This csv was generated from spreadsheet: https://docs.google.com/spreadsheets/d/1OzP1ewVcsB4IKpeLPMQyVwLWbeFcTm4OtPxi-n7J5Ng/edit?gid=0#gid=0
Process,BaseStrata,Sediment,Erosion,Dike,Sills,Pluton,OreDeposit,Fold,Fault,Slip,End,,Row Sum,,EndVal
BaseStrata,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.15,0,0.05,,1,,0.05
Sediment,0,0.1,0.25,0.1,0,0,0.1,0.2,0.2,0,0.05,,1,,
Erosion,0,0.3,0.1,0.15,0,0,0,0.2,0.2,0,0.05,,1,,
Dike,0,0.1,0.1,0.1,0.05,0.05,0.25,0.15,0.15,0,0.05,,1,,
Sills,0,0,0.1,0.1,0,0.3,0.25,0.1,0.1,0,0.05,,1,,
Pluton,0,0.05,0.05,0.1,0.3,0,0.25,0.1,0.1,0,0.05,,1,,
OreDeposit,0,0.2,0.1,0.1,0,0,0.15,0.2,0.2,0,0.05,,1,,
Fold,0,0.15,0.1,0.1,0,0,0.05,0.35,0.2,0,0.05,,1,,
Fault,0,0.15,0.1,0.1,0,0,0.05,0.2,0.35,0,0.05,,1,,
Slip,0,0,0,0,0,0,0,0,0,1,0,,1,,
End,0,0,0,0,0,0,0,0,0,0,1,,1,,
